experiment_version,silver_size,sample_seed,train_seed,use_class_weights,dry_run,macro_f1,cohen_kappa,class_collapse,metrics_file,agree_f1,agree_prediction_count,disagree_f1,disagree_prediction_count,question_f1,question_prediction_count,statement_f1,statement_prediction_count
legacy,2000,legacy,123,True,False,0.5441081332406454,0.38852529498877364,False,silver_2000_seed123_metrics.json,0.3764705882352941,21,0.6498194945848376,132,0.7962962962962963,64,0.35384615384615387,83
legacy,2000,legacy,2026,True,False,0.5253667338430921,0.3589743589743589,False,silver_2000_seed2026_metrics.json,0.4752475247524752,37,0.6053639846743295,116,0.6956521739130435,71,0.3252032520325203,76
legacy,2500,legacy,42,True,False,0.5470544638430022,0.3595566860465117,False,silver_2500_seed42_metrics.json,0.5,36,0.5560165975103735,96,0.78,56,0.3522012578616352,112
legacy,2500,legacy,123,True,False,0.5806675688552342,0.4140625,False,silver_2500_seed123_metrics.json,0.5486725663716814,49,0.6444444444444445,125,0.7628865979381443,53,0.36666666666666664,73
legacy,2500,legacy,2026,True,False,0.565567616405898,0.3840678894059677,False,silver_2500_seed2026_metrics.json,0.6271186440677966,54,0.5394190871369294,96,0.7307692307692307,60,0.36496350364963503,90
legacy,3000,legacy,42,True,False,0.5270011686953814,0.3407086261025565,False,silver_3000_seed42_metrics.json,0.5306122448979592,34,0.5321888412017167,88,0.7222222222222222,64,0.32298136645962733,114
legacy,3000,legacy,123,True,False,0.5624163746153045,0.37446907097073134,False,silver_3000_seed123_metrics.json,0.6296296296296297,44,0.5533596837944664,108,0.6990291262135923,59,0.36764705882352944,89
legacy,3000,legacy,2026,True,False,0.575750126992363,0.39238392677685197,False,silver_3000_seed2026_metrics.json,0.6486486486486487,47,0.5691699604743083,108,0.6938775510204082,54,0.391304347826087,91
legacy,5000,legacy,42,True,False,0.5453906990991391,0.3750867935009027,False,silver_5000_seed42_metrics.json,0.4782608695652174,28,0.6196078431372549,110,0.7070707070707071,55,0.37662337662337664,107
legacy,5000,legacy,123,True,False,0.5716971620178809,0.3970133316583705,False,silver_5000_seed123_metrics.json,0.5849056603773585,42,0.6287878787878788,119,0.7422680412371134,53,0.3308270676691729,86
legacy,5000,legacy,2026,True,False,0.576865156883825,0.3894576581895012,False,silver_5000_seed2026_metrics.json,0.6037735849056604,42,0.5836575875486382,112,0.7628865979381443,53,0.35714285714285715,93
legacy,8000,legacy,42,True,False,0.5659845673213569,0.387303829734959,False,silver_8000_seed42_metrics.json,0.5773195876288659,33,0.5896414342629482,106,0.7128712871287128,57,0.3841059602649007,104
legacy,8000,legacy,123,True,False,0.5537569645801353,0.3723082562081921,False,silver_8000_seed123_metrics.json,0.5576923076923077,40,0.5853658536585366,101,0.7083333333333334,52,0.36363636363636365,107
legacy,8000,legacy,2026,True,False,0.5598487479489739,0.37913140174213866,False,silver_8000_seed2026_metrics.json,0.5544554455445545,37,0.5984251968503937,109,0.7216494845360825,53,0.36486486486486486,101
legacy,10000,legacy,42,True,False,0.5568582874215675,0.37250950396189253,False,silver_10000_seed42_metrics.json,0.5567010309278351,33,0.5748987854251012,102,0.7083333333333334,52,0.3875,113
legacy,10000,legacy,123,True,False,0.5660300104430934,0.3885900795292604,False,silver_10000_seed123_metrics.json,0.5319148936170213,30,0.6,105,0.7422680412371134,53,0.389937106918239,112
legacy,10000,legacy,2026,True,False,0.5325100990472152,0.34365533490407274,False,silver_10000_seed2026_metrics.json,0.4946236559139785,29,0.5863453815261044,104,0.7096774193548387,49,0.3393939393939394,118
v2_group_split,500,123,42,True,False,0.12422409676905938,0.0149080026601639,True,silver_500_sample123_train42_weights1_metrics.json,0.0,0,0.2185792349726776,38,0.0,0,0.2783171521035599,262
v2_group_split,500,123,123,True,False,0.24976580796252928,0.06497123626054813,True,silver_500_sample123_train123_weights1_metrics.json,0.0,0,0.5704918032786885,160,0.2077922077922078,33,0.22077922077922077,107
v2_group_split,500,123,2026,True,False,0.31775974569181864,0.10941071882143771,True,silver_500_sample123_train2026_weights1_metrics.json,0.0,0,0.5035971223021583,133,0.5348837209302325,42,0.23255813953488372,125
v2_group_split,500,42,42,True,False,0.11558612856540934,0.025126448033937043,True,silver_500_sample42_train42_weights1_metrics.json,0.0,0,0.17751479289940827,24,0.0,0,0.2848297213622291,276
v2_group_split,500,42,123,True,False,0.2258677383997077,0.09826826519110565,True,silver_500_sample42_train123_weights1_metrics.json,0.0,0,0.6211180124223602,177,0.0,0,0.2823529411764706,123
v2_group_split,500,42,2026,True,False,0.21807228915662652,0.056865946434154435,True,silver_500_sample42_train2026_weights1_metrics.json,0.0,0,0.572289156626506,187,0.0,0,0.3,113
v2_group_split,1000,123,42,True,False,0.5192568644368878,0.35370331037412384,False,silver_1000_sample123_train42_weights1_metrics.json,0.5263157894736842,31,0.5737704918032787,99,0.624,81,0.35294117647058826,89
v2_group_split,1000,123,123,True,False,0.36511473962930274,0.21705647461494582,True,silver_1000_sample123_train123_weights1_metrics.json,0.0,0,0.3786407766990291,61,0.7454545454545455,66,0.33636363636363636,173
v2_group_split,1000,123,2026,True,False,0.4179138002840585,0.2821463823168725,False,silver_1000_sample123_train2026_weights1_metrics.json,0.11764705882352941,4,0.5439330543933054,94,0.6507936507936508,82,0.3592814371257485,120
v2_group_split,1000,42,42,True,False,0.40587970617317504,0.2344311958095182,False,silver_1000_sample42_train42_weights1_metrics.json,0.1917808219178082,9,0.5254237288135594,91,0.5961538461538461,60,0.31016042780748665,140
v2_group_split,1000,42,123,True,False,0.36072616429149673,0.2418691588785047,True,silver_1000_sample42_train123_weights1_metrics.json,0.0,0,0.5583333333333333,95,0.60431654676259,95,0.2802547770700637,110
v2_group_split,1000,42,2026,True,False,0.3141868885885334,0.2005556421777771,True,silver_1000_sample42_train2026_weights1_metrics.json,0.0,0,0.4630541871921182,58,0.49032258064516127,111,0.30337078651685395,131
